smovie_name,ranking,score,score_num
海街日记,191,8.7,
恐怖游轮,192,8.4,
穿越时空的少女,193,8.6,
罗生门,194,8.8,
惊魂记,195,8.9,
魂断蓝桥,196,8.8,
完美陌生人,197,8.5,
猜火车,198,8.5,
阿飞正传,199,8.5,
釜山行,200,8.4,
疯狂的石头,201,8.4,
香水,202,8.5,
可可西里,203,8.7,
奇迹男孩,204,8.6,
牯岭街少年杀人事件,205,8.8,
初恋这件小事,206,8.4,
谍影重重2,207,8.6,
终结者2：审判日,208,8.7,
谍影重重,209,8.6,
战争之王,210,8.6,
朗读者,211,8.5,
浪潮,212,8.7,
地球上的星星,213,8.9,
青蛇,214,8.5,
新世界,215,8.7,
爱在午夜降临前,216,8.8,
2001太空漫游,217,8.8,
新龙门客栈,218,8.6,
无耻混蛋,219,8.5,
源代码,220,8.4,
人生果实,221,9.6,
步履不停,222,8.8,
绿里奇迹,223,8.8,
小萝莉的猴神大叔,224,8.5,
再次出发之纽约遇见你,225,8.5,
追随,226,8.9,
血钻,227,8.6,
一次别离,228,8.7,
彗星来的那一夜,229,8.5,
城市之光,230,9.3,
哈利·波特与阿兹卡班的囚徒,231,8.5,
疯狂的麦克斯4：狂暴之路,232,8.6,
东京物语,233,9.2,
哈利·波特与密室,234,8.5,
撞车,235,8.6,
聚焦,236,8.8,
梦之安魂曲,237,8.7,
发条橙,238,8.5,
遗愿清单,239,8.6,
黑鹰坠落,240,8.6,
E.T. 外星人,241,8.6,
驴得水,242,8.3,
我爱你,243,9.0,
色，戒,244,8.4,
末路狂花,245,8.7,
这个男人来自地球,246,8.5,
变脸,247,8.5,
千钧一发,248,8.7,
国王的演讲,249,8.4,
黄金三镖客,250,9.1,
